X;Y;Z
-0.7592621;0.22633362;10.488.129
-10.621.948;-0.18302917;0.4179535
-10.177.917;0.25035095;-0.38839722
-0.56178284;13.164.368;-0.21897888
-0.15115356;15.869.598;-0.038589478
-0.43954468;0.7802429;0.17622375
-0.62571716;0.6268463;0.6334686
-0.19393921;-0.15904236;-0.114364624
-11.167.908;0.14456177;-0.5127411
-0.17590332;-0.85543823;-0.57725525
-0.037460327;-0.5555115;-0.3655243
0.98565674;-0.14878845;-0.16088867
0.84957886;-0.052520752;-0.5235138
0.78685;-0.84384155;0.4249115
0.9951782;-0.7601929;-0.050308228
0.82899475;-0.6240387;-0.35653687
0.34635925;-1.001.358;-0.71585083
0.25352478;-0.8440399;-0.14746094
0.84599304;-0.12921143;-0.05529785
0.7831726;0.47642517;0.34707642
-0.6660309;-0.029327393;0.92614746
-10.422.974;-0.02166748;0.49699402
-10.402.832;-0.30569458;-0.43347168
-0.5202179;14.137.268;-0.2160492
-0.44454956;13.429.718;-0.23269653
-0.5788727;0.8327637;0.103256226
-0.1320343;0.35324097;0.7166443
-0.80474854;0.28649902;0.6239624
0.21456909;16.505.127;-0.34521484
-10.413.513;-14.294.281;-14.111.938
0.104141235;-0.9895172;0.045928955
0.65812683;-0.33387756;0.07846069
0.9753723;-0.1641388;-0.24949646
0.78559875;-12.883.148;0.7020111
10.738.983;-0.918869;-0.31329346
0.95422363;-10.996.704;-0.31123352
0.38412476;-0.59724426;-0.5518341
0.23562622;-0.49067688;-0.12927246
0.5930176;0.16688538;0.16160583
0.7167206;0.55833435;0.4769745
-0.7808075;0.05632019;0.8153534
-10.821.533;0.12808228;0.1865387
-0.8300171;0.15548706;-0.5731354
-0.6934967;18.044.891;-0.15525818
-0.7326813;15.674.744;-0.117126465
-0.8743439;0.9360199;0.3467102
-0.6200104;0.5593872;0.72691345
-0.34210205;0.44578552;0.022094727
0.062301636;0.13969421;-0.50691223
-11.508.026;-11.625.366;-0.75193787
0.30743408;-0.99668884;-0.6474762
10.274.048;-0.10914612;-0.20080566
13.114.014;-0.4850464;-0.017654419
0.79151917;-14.189.148;0.20399475
12.158.813;-13.285.065;0.051498413
0.8670349;-0.48028564;-0.30715942
0.38000488;-0.26435852;-0.33016968
0.215271;-0.42578125;0.09159851
0.68006897;0.09837341;0.0771637
0.5317688;0.4237671;0.2755127
-0.3383026;0.43807983;0.8692322
-0.7596741;0.2326355;0.512146
-0.9267731;0.2893982;-0.44204712
-0.64886475;12.832.642;-0.25009155
-0.70132446;14.385.529;-0.17199707
-0.61901855;0.9121704;0.029418945
-0.74879456;0.52160645;0.3712921
-0.43632507;0.3812256;0.04348755
-0.78541565;-0.5989685;-0.44378662
-11.704.254;-0.70303345;-0.6635895
0.33416748;-0.21299744;-0.45993042
0.8675995;-0.36201477;0.08795166
10.430.298;-0.6730957;-0.105041504
0.7267151;-11.916.962;0.085876465
0.85380554;-1.348.999;0.06942749
0.6225586;-0.97387695;-0.30152893
0.38357544;-0.6696472;-0.34022522
0.39698792;-0.5688782;-0.17643738
0.7965851;0.0362854;0.2268982
0.4343567;0.74749756;0.42570496
-0.5232086;0.84976196;0.65367126
-10.076.904;0.49710083;0.33755493
-0.9085846;0.88531494;-0.05909729
-0.74191284;18.209.839;-0.16685486
-0.68322754;19.735.565;-0.15751648
-0.75131226;13.903.961;0.19702148
-0.63934326;0.64575195;0.50239563
0.0042266846;-0.10536194;0.006225586
-0.8296051;-0.023208618;-0.34268188
-0.23098755;-0.84490967;-0.36584473
-0.07350159;-0.43615723;-0.42710876
0.9965668;-0.29689026;-0.34379578
10.466.919;-0.39068604;-0.5035095
10.632.019;-10.594.635;0.41264343
11.606.293;-0.9181671;0.08943176
0.8691406;-0.6007538;-0.30447388
0.22789001;-0.45315552;-0.4094696
0.15080261;-0.5516968;0.04244995
0.70565796;0.09011841;0.16656494
0.24668884;0.31970215;0.34117126
-0.6981354;0.22894287;0.82066345
-0.9902344;0.04196167;0.19451904
-0.91378784;0.32681274;-0.38165283
-0.32992554;11.876.678;-0.27142334
-0.33885193;12.875.671;-0.147995
0.073028564;0.37983704;0.10215759
-0.6822052;0.58665466;0.45413208
-0.15176392;-0.44908142;0.20654297
-1.634.613;-0.7666931;-11.387.787
-0.60147095;-0.96868896;-0.3466339
0.14430237;-0.043701172;-0.35894775
14.601.746;-0.14511108;-0.38749695
0.5242462;-0.32759094;0.3044281
10.163.116;-0.84425354;0.45407104
0.85131836;-0.432312;-0.58413696
0.33572388;-0.54615784;-0.2518463
0.05130005;-0.7965088;-0.18792725
0.18519592;-0.26252747;0.13146973
10.110.321;0.38293457;0.06510925
-0.018005371;0.41368103;0.97302246
-12.202.148;0.12879944;0.91174316
-1.289.444;0.22991943;-0.041107178
-0.98846436;0.7947693;-0.030715942
-0.5734863;17.802.277;0.010375977
-0.43136597;15.939.789;-0.13224792
-0.59124756;11.369.171;0.22669983
-0.6634979;0.8278656;0.5471649
0.004623413;-0.2397461;-0.13150024
-0.8547363;0.33674622;-0.5778656
0.15646362;-10.516.815;-0.56877136
0.3596344;-0.059188843;-0.6575775
15.179.901;0.20579529;-0.29978943
12.482.758;-0.18989563;0.046798706
11.314.697;-1.124.527;0.773468
0.9612732;-0.8384857;-0.119018555
0.46315002;-0.72525024;-0.31515503
0.07757568;-0.6277771;-0.4864502
0.38426208;-0.2512207;-0.11619568
0.7606964;0.5049286;-0.09385681
0.09770203;0.3781891;0.62109375
-0.847641;0.31254578;0.9592743
-10.111.237;0.5466919;0.31602478
-0.83872986;0.73109436;-0.4976654
-0.4844818;16.716.766;-0.114212036
-0.57051086;14.215.393;-0.027236938
-0.5207367;0.8117981;0.20475769
-0.70072937;0.58966064;0.53201294
-0.24731445;0.3023529;0.049484253
-0.2424469;-0.77445984;-0.7761841
-12.458.954;-12.648.468;-0.6634369
0.29930115;-0.40689087;-0.19291687
0.5933075;0.30056763;-0.24398804
10.405.884;-0.25506592;0.10380554
0.58503723;-0.7783356;0.34178162
0.8499298;-0.8829498;-0.034820557
0.8591461;-0.94937134;-0.32029724
0.48866272;-10.274.048;-0.3107605
0.07766724;-0.861145;-0.12927246
0.512146;-0.3778839;0.1489563
0.67333984;0.39398193;0.29481506
-0.47862244;0.066207886;0.70822144
-10.574.188;-0.47647095;0.47743225
-0.90660095;-0.11643982;-0.30899048
-0.63960266;0.9370575;-0.39736938
-0.4668274;13.651.733;-0.23214722
-0.3740692;0.8587189;0.004180908
-0.29216003;0.80570984;0.36228943
-0.82766724;0.6434784;0.26885986
-0.064453125;0.38783264;-0.18165588
-0.8737793;-0.34944153;-0.3138733
-0.19476318;-0.1884613;-0.65686035
0.57743835;0.03668213;-0.40348816
13.542.328;-0.08943176;-0.18676758
10.531.464;-0.38293457;-0.10116577
0.93574524;-11.143.951;0.23054504
0.9466095;-0.8192749;0.08958435
0.8520508;-0.1793518;-0.25231934
0.23953247;-0.16053772;-0.048095703
0.1545105;-0.20944214;0.25221252
-0.0987854;-0.088912964;0.53590393
-1.149.231;0.58535767;0.877182
-0.8665619;-0.4918518;0.22027588
-0.91174316;-0.04559326;0.036819458
-0.38867188;15.138.702;-0.18374634
-0.06991577;16.988.373;-0.24508667
-0.38182068;0.84059143;0.15408325
-0.7973633;0.56417847;0.503067
0.30786133;-0.23591614;-0.085617065
-2.157.898;0.41238403;-0.057113647
0.5769348;-0.29551697;-0.21426392
0.027069092;-0.5420227;-0.5480499
0.835495;-0.7642975;-0.20658875
0.8713379;-0.9795685;-0.08227539
10.531.769;-14.261.475;0.5027466
0.99028015;-0.6867676;-0.556839
0.6484375;-0.47409058;-0.37130737
0.10888672;-0.4899292;-0.12232971
0.2275238;0.021713257;0.17747498
0.79093933;0.3551178;0.3075409
0.041809082;0.38098145;0.8054352
-10.847.473;0.28674316;0.8257446
-0.9429474;-0.2956543;-0.44096375
-0.85025024;0.8598633;-0.27879333
-0.41357422;16.098.328;-0.15071106
-0.36843872;12.429.504;-0.06489563
-0.3852539;0.5591583;0.39094543
-0.8188629;0.7370148;0.4050598
0.17330933;-0.02458191;-0.36437988
-23.246.765;-0.063797;-0.63220215
0.79222107;-0.63768005;-0.27026367
0.1776123;0.087631226;-0.6043091
1.368.576;-0.24006653;-0.37734985
0.63056946;-0.6736603;0.19877625
11.357.727;-11.683.502;0.4113922
0.96058655;-0.5415344;-0.40904236
0.50531006;-0.43099976;-0.3103485
